Name,Pronouns,UFL Email,Phone,Socials,Year,Major,Other Orgs,"Role (0=Big,1=Little)",Preferred Littles,Preferred Bigs,Pairing Requests (Optional),"On/Off Campus (0=On,1=Off)","Has Car (0=No,1=Yes)",Ideal Big/Little,Looking For ACE,Free Time,Hobbies,Favorite Artists/Songs,Icks,Talk for Hours About,Self Description,Best Joke,Favorite Food,"EarlyBird/NightOwl (0=Early,1=Night)",Extroversion (1-5),Good Advice (1-5),Plans Style (1-5),Study Frequency (1-5),Gym Frequency (1-5),Spending Habits (1-5),Friday Night,Additional Info (Optional)
Debbie Shaw,he/him,james200@ufl.edu,055.046.6498x133,@bradley62,1,Marketing,None,0,4.0,,,1,1,Supportive and caring,Meet new people,gym,movies,Post Malone - Lo-fi,Bad hygiene,fashion trends,Plant increase operation yeah leg sea whose look check remain color.,Why don’t skeletons fight each other? They don’t have the guts.,American,0,4,4,4,4,3,5,going out,I love hanging out at Plaza of Americas
Amber White,she/her,destiny785@ufl.edu,+1-850-020-2730x986,@jessica36,2,Mechanical Engineering,FSA,0,4.0,,Prefer someone same major,0,0,Supportive and caring,Network and make friends,music,"music, reading",The Weeknd - Pop,Being late,fashion trends,Couple protect individual relationship seat act real summer practice finish benefit maintain wall discover or place.,I only know 25 letters of the alphabet. I don’t know y.,Greek/Mediterranean,1,5,4,3,2,4,3,dinner with friends,I love hanging out at Plaza of Americas
Connie Allen,they/them,matthew850@ufl.edu,001-167-192-4346x17736,@david75,2,Mechanical Engineering,None,0,5.0,,Prefer someone also into K-pop,0,0,Supportive and caring,Meet new people,photography,"cooking, gym",SZA - Indie,Bad hygiene,k-pop gossip,Example man raise near fall chair room ten deal recently probably.,I only know 25 letters of the alphabet. I don’t know y.,Asian,0,4,4,3,3,4,5,dinner with friends,
Jordan Palmer,they/them,ronald154@ufl.edu,+1-756-542-5907x7767,@susan80,2,Data Science,AAA,0,3.0,,Prefer someone same major,1,1,Chill and introverted,Find a mentor,gym,"reading, gym, photography",Joji - EDM,Chewing loudly,sports,Every green animal sea research head yet live price air less husband item support.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,0,3,4,4,5,1,2,sleeping early,
Joshua Schmitt,he/him,suzanne552@ufl.edu,001-248-315-1046x2226,@adam86,2,Mechanical Engineering,FSA,0,3.0,,Prefer someone also into K-pop,1,1,Supportive and caring,Meet new people,movies,gym,NewJeans - K-pop,Talking over others,k-pop gossip,Security health require wide dog another including step dark history.,Why did the scarecrow get promoted? He was outstanding in his field.,Mexican,1,3,4,5,4,3,5,movie night,
Christopher Austin,he/him,richard258@ufl.edu,(401)136-2438x2683,@joshua6,1,Marketing,HSA,0,3.0,,,0,1,Shares similar hobbies,Meet new people,photography,movies,The Weeknd - Indie,Talking over others,gaming strategies,Night music argue green model kid could consumer street focus set well early whatever mouth.,I only know 25 letters of the alphabet. I don’t know y.,Italian,0,4,4,3,5,3,1,gaming all night,Looking for study buddies
Marco Barnes,she/her,becky48@ufl.edu,426-692-6920,@john14,2,Mechanical Engineering,CSA,0,3.0,,Prefer someone from AAA,1,0,Supportive and caring,Meet new people,traveling,photography,SZA - K-pop,Overusing emojis,sports,Reveal machine TV traditional return seem expert one stay land perhaps.,Why did the scarecrow get promoted? He was outstanding in his field.,Asian,1,5,5,4,2,1,5,studying at Marston,
Denise Armstrong,they/them,jack309@ufl.edu,(992)483-1994x712,@kathryn88,2,Biology,None,0,3.0,,,1,0,Supportive and caring,Meet new people,painting,"music, reading",Joji - Rock,Talking over others,k-pop gossip,Program piece decide middle camera start whom such week security front owner his.,Why did the scarecrow get promoted? He was outstanding in his field.,American,0,5,5,4,2,2,2,sleeping early,
Jennifer Frazier,they/them,nathan390@ufl.edu,671.933.5881x128,@katie69,1,Finance,None,0,1.0,,Prefer someone same major,0,1,Supportive and caring,Guide underclassmen,music,"reading, painting",Joji - Lo-fi,Overusing emojis,AI & tech,Read city three plan newspaper other trial pull authority although.,Why did the scarecrow get promoted? He was outstanding in his field.,Mexican,0,3,3,3,5,3,2,dinner with friends,
Lisa Murphy,he/him,erik95@ufl.edu,+1-158-238-8972x09885,@tristan74,1,Biology,None,0,1.0,,Prefer someone from AAA,1,0,Chill and introverted,Network and make friends,painting,"photography, reading, music",NewJeans - Rock,Being late,gaming strategies,Win night then most office major would seat whose last see occur.,I only know 25 letters of the alphabet. I don’t know y.,Italian,0,5,5,4,4,2,1,going out,
Carolyn Stewart,she/her,maurice51@ufl.edu,(559)993-7839,@katherine46,2,Finance,FSA,0,4.0,,Prefer someone same major,0,1,Supportive and caring,Meet new people,cooking,reading,Post Malone - K-pop,Chewing loudly,k-pop gossip,New research development spend garden range two morning present tough show certainly day.,What do you call fake spaghetti? An impasta!,Asian,0,4,4,5,3,4,4,gaming all night,Looking for study buddies
Jason Jackson,they/them,tina643@ufl.edu,089-464-3937x751,@bryan7,1,Mechanical Engineering,None,0,2.0,,Prefer someone from AAA,0,0,Fun and outgoing,Guide underclassmen,music,movies,Drake - Pop,Being late,fashion trends,Center law course eye teach model group bit project indeed onto when activity both.,Why did the scarecrow get promoted? He was outstanding in his field.,Asian,0,3,3,4,2,5,1,studying at Marston,I love hanging out at Plaza of Americas
Laura Oconnell,she/her,richard772@ufl.edu,001-680-664-3239,@michael48,2,Computer Science,AAA,0,3.0,,Prefer someone also into K-pop,1,0,Supportive and caring,Network and make friends,gaming,"gaming, photography, cooking",Joji - Pop,Chewing loudly,fashion trends,Study forget matter doctor generation baby or section sign never realize light theory.,I only know 25 letters of the alphabet. I don’t know y.,American,1,4,4,5,3,5,5,movie night,
Richard Garcia,he/him,jacob794@ufl.edu,001-017-926-7071x90794,@corey13,2,Data Science,None,0,5.0,,Prefer someone from AAA,1,1,Fun and outgoing,Find a mentor,gaming,"movies, gaming, reading",NewJeans - R&B,Being late,AI & tech,Record will unit be east when management future group down tend run discover good seat specific.,Why don’t skeletons fight each other? They don’t have the guts.,Greek/Mediterranean,1,4,5,5,3,5,5,gaming all night,I love hanging out at Plaza of Americas
Nicole Chapman,he/him,mark183@ufl.edu,1591594591,@tyler41,1,Finance,VSO,0,4.0,,Prefer someone from AAA,0,0,Shares similar hobbies,Network and make friends,gym,"traveling, music, cooking",SZA - Indie,Chewing loudly,fashion trends,Few others democratic must but teach people lawyer peace let drop evidence.,I only know 25 letters of the alphabet. I don’t know y.,Italian,1,3,4,5,4,3,3,studying at Marston,Looking for study buddies
Samuel Graves,they/them,andrea681@ufl.edu,+1-278-902-0207x74122,@charles86,2,Data Science,VSO,0,4.0,,Prefer someone also into K-pop,0,1,Supportive and caring,Find a mentor,traveling,"gym, movies",SZA - Rock,Bad hygiene,fashion trends,Day expert hold evidence surface receive popular.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,0,5,5,3,2,1,2,movie night,
Dawn Fox,he/him,dylan237@ufl.edu,001-217-568-7950x242,@wendy90,1,Finance,VSO,0,5.0,,Prefer someone from AAA,0,1,Shares similar hobbies,Find a mentor,reading,"traveling, reading",The Weeknd - Pop,Chewing loudly,fashion trends,Campaign billion way character share nothing knowledge effect pretty Republican serve wish.,Why did the scarecrow get promoted? He was outstanding in his field.,I would literally eat anything,1,3,4,5,3,2,5,dinner with friends,I love hanging out at Plaza of Americas
Matthew Ortiz,she/her,samantha498@ufl.edu,001-492-560-9588x505,@johnathan2,2,Marketing,None,0,3.0,,Prefer someone also into K-pop,1,0,Supportive and caring,Meet new people,reading,gaming,Taylor Swift - EDM,Being late,AI & tech,Rock cultural writer return who you back red reality through sense.,I only know 25 letters of the alphabet. I don’t know y.,I would literally eat anything,1,5,5,3,4,5,4,studying at Marston,
Olivia Shea,they/them,holly463@ufl.edu,253-483-9111,@anna72,1,Computer Science,FSA,0,2.0,,Prefer someone also into K-pop,0,1,Fun and outgoing,Meet new people,traveling,"cooking, gaming",NewJeans - Pop,Chewing loudly,sports,Tend argue ever feel development something trial director fire something pretty follow weight base likely.,What do you call fake spaghetti? An impasta!,Asian,0,5,5,3,5,1,1,movie night,I love hanging out at Plaza of Americas
Samantha Austin,he/him,keith500@ufl.edu,0652046541,@kathryn46,1,Mechanical Engineering,FSA,0,4.0,,Prefer someone also into K-pop,0,1,Shares similar hobbies,Network and make friends,painting,movies,Drake - Lo-fi,Being late,movies & TV shows,Friend return especially number network culture debate business newspaper ahead fill factor other why including.,Why don’t skeletons fight each other? They don’t have the guts.,Greek/Mediterranean,1,5,4,4,2,2,4,dinner with friends,Looking for study buddies
Ashley Garcia,she/her,robert129@ufl.edu,001-434-587-6448x14735,@melissa9,1,Data Science,VSO,0,2.0,,,0,0,Chill and introverted,Meet new people,gaming,gym,The Weeknd - K-pop,Chewing loudly,fashion trends,Mention want care which guess attorney above set someone happy anyone two type important.,What do you call fake spaghetti? An impasta!,I would literally eat anything,1,4,3,3,3,1,5,sleeping early,
Nancy Robbins,they/them,todd971@ufl.edu,(430)814-3322,@laura47,1,Computer Science,FSA,0,3.0,,Prefer someone same major,0,0,Supportive and caring,Guide underclassmen,photography,"movies, reading, painting",SZA - Indie,Bad hygiene,gaming strategies,Show wall audience religious public pressure fund share table race resource throw choose television.,Why don’t skeletons fight each other? They don’t have the guts.,Greek/Mediterranean,0,4,4,3,3,1,2,studying at Marston,
Anthony Jones,she/her,roberto686@ufl.edu,001-738-894-6387,@charles44,2,Finance,FSA,0,5.0,,Prefer someone same major,0,1,Fun and outgoing,Meet new people,traveling,"reading, painting",Joji - Hip-hop,Overusing emojis,movies & TV shows,Religious after about main act always region cause floor event main modern assume bring similar.,Why did the scarecrow get promoted? He was outstanding in his field.,I would literally eat anything,1,4,3,5,3,1,1,movie night,
Richard Moore,they/them,allen382@ufl.edu,(539)901-2038x8496,@tina20,1,Data Science,None,0,3.0,,,1,0,Fun and outgoing,Network and make friends,traveling,"music, movies",Post Malone - K-pop,Bad hygiene,AI & tech,Song bring total table this side suffer expert hand hard develop executive subject admit development bill.,Why did the scarecrow get promoted? He was outstanding in his field.,I would literally eat anything,1,3,4,3,2,5,1,gaming all night,
Willie Johnson,they/them,denise992@ufl.edu,(238)778-6627x77794,@henry67,2,Marketing,CSA,0,5.0,,Prefer someone also into K-pop,1,0,Supportive and caring,Find a mentor,painting,photography,Taylor Swift - R&B,Overusing emojis,sports,Democrat knowledge bad conference every other talk wall.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,0,5,5,3,5,4,4,going out,I love hanging out at Plaza of Americas
Brandy Gilbert,he/him,sarah941@ufl.edu,6800979188,@jennifer91,2,Data Science,HSA,0,1.0,,,1,1,Fun and outgoing,Meet new people,traveling,"gaming, movies, painting",Taylor Swift - Lo-fi,Bad hygiene,movies & TV shows,System however fire between suffer young peace range care argue statement indeed.,What do you call fake spaghetti? An impasta!,Italian,1,3,4,5,5,5,3,sleeping early,
Deborah Salazar,she/her,marcus629@ufl.edu,(806)739-5325x0553,@mark93,2,Computer Science,VSO,0,1.0,,Prefer someone also into K-pop,0,1,Chill and introverted,Network and make friends,reading,"movies, painting",Drake - EDM,Being late,AI & tech,Party federal whom sure college stuff sit state loss audience happen parent.,Why don’t skeletons fight each other? They don’t have the guts.,Asian,0,5,5,3,3,2,2,sleeping early,
Denise Lam,they/them,vincent336@ufl.edu,494.697.3410x208,@anthony17,2,Data Science,CSA,0,4.0,,,0,1,Supportive and caring,Network and make friends,traveling,"music, traveling",Taylor Swift - Indie,Overusing emojis,gaming strategies,Million marriage on pressure woman network right view bar me recent everything back ago.,What do you call fake spaghetti? An impasta!,Italian,1,4,3,5,5,1,1,sleeping early,I love hanging out at Plaza of Americas
Robert Castillo,she/her,bobby189@ufl.edu,(938)633-9320x35472,@marie33,1,Marketing,VSO,0,4.0,,Prefer someone from AAA,0,1,Supportive and caring,Find a mentor,gaming,"painting, cooking, gaming",The Weeknd - Indie,Chewing loudly,gaming strategies,Effect while political conference value and require bad.,What do you call fake spaghetti? An impasta!,American,1,5,5,5,5,1,2,dinner with friends,
Marie Collins,he/him,crystal722@ufl.edu,+1-299-636-3866,@sarah84,2,Finance,HSA,0,5.0,,Prefer someone from AAA,0,1,Shares similar hobbies,Find a mentor,gaming,"traveling, gym",Drake - Lo-fi,Talking over others,AI & tech,Another learn great last statement kind stuff five dark specific believe case live.,Why did the scarecrow get promoted? He was outstanding in his field.,Greek/Mediterranean,0,3,4,3,2,5,5,studying at Marston,
Theresa Collins,he/him,austin997@ufl.edu,305.771.6632x0430,@karen48,2,Finance,FSA,0,5.0,,,1,1,Supportive and caring,Network and make friends,music,gaming,The Weeknd - Indie,Talking over others,movies & TV shows,Line produce action reveal head commercial key best strategy quite agent.,I only know 25 letters of the alphabet. I don’t know y.,Asian,1,5,5,3,2,1,4,studying at Marston,I love hanging out at Plaza of Americas
Barbara Shepherd,they/them,manuel826@ufl.edu,9099825702,@christy99,1,Computer Science,AAA,0,2.0,,Prefer someone same major,1,1,Chill and introverted,Network and make friends,gym,cooking,Post Malone - Pop,Overusing emojis,sports,Girl serve sort west forget hundred local high leave next thing one.,Why don’t skeletons fight each other? They don’t have the guts.,I would literally eat anything,1,4,5,4,3,4,2,going out,
Andrea Peterson,she/her,vernon210@ufl.edu,+1-153-078-2149x674,@walter96,2,Computer Science,FSA,0,1.0,,Prefer someone same major,0,1,Shares similar hobbies,Network and make friends,movies,"painting, traveling, movies",NewJeans - R&B,Bad hygiene,movies & TV shows,Quickly other rock challenge author Republican democratic use.,I only know 25 letters of the alphabet. I don’t know y.,Asian,0,5,5,5,4,5,1,sleeping early,Looking for study buddies
Nathan Thomas,she/her,ann374@ufl.edu,+1-836-709-7150x7334,@jeremy38,1,Data Science,VSO,0,4.0,,,1,1,Supportive and caring,Guide underclassmen,movies,"cooking, movies, music",NewJeans - K-pop,Bad hygiene,movies & TV shows,Family simply fall shake skin against garden then bill fund majority.,Why did the scarecrow get promoted? He was outstanding in his field.,Asian,1,4,3,3,2,3,1,sleeping early,
Amanda Mahoney,he/him,julie902@ufl.edu,962.281.0004x68828,@rebecca68,1,Finance,CSA,0,1.0,,,0,0,Shares similar hobbies,Find a mentor,movies,"music, movies",SZA - Indie,Being late,movies & TV shows,On serious end sign participant media structure without second increase live.,I only know 25 letters of the alphabet. I don’t know y.,I would literally eat anything,0,4,3,5,4,5,1,dinner with friends,
Jesus Carrillo,they/them,mathew620@ufl.edu,(636)309-3062,@brooke85,2,Computer Science,None,0,3.0,,Prefer someone same major,0,1,Supportive and caring,Guide underclassmen,music,traveling,SZA - Rock,Bad hygiene,k-pop gossip,Item PM behind total senior environmental he yes board matter sort whose weight three already.,What do you call fake spaghetti? An impasta!,Mexican,1,5,4,4,2,5,1,sleeping early,
Mackenzie Wolf,he/him,amanda457@ufl.edu,(947)994-6964,@kara15,1,Marketing,VSO,0,5.0,,Prefer someone from AAA,0,0,Fun and outgoing,Meet new people,movies,"painting, movies, reading",SZA - EDM,Being late,fashion trends,Carry lot because well rule example Mr game.,I only know 25 letters of the alphabet. I don’t know y.,Asian,0,5,5,3,3,2,2,dinner with friends,I love hanging out at Plaza of Americas
Joan Torres MD,he/him,ricky130@ufl.edu,520-169-3117x1228,@henry47,2,Marketing,None,0,1.0,,,1,0,Shares similar hobbies,Network and make friends,gaming,cooking,The Weeknd - EDM,Overusing emojis,k-pop gossip,Senior eight level guy cover age management dog social politics own dream employee beautiful car.,Why did the scarecrow get promoted? He was outstanding in his field.,Asian,1,3,5,4,3,1,5,dinner with friends,Looking for study buddies
Cheryl Coleman,he/him,jessica909@ufl.edu,+1-196-399-4318,@hannah11,2,Marketing,HSA,0,2.0,,Prefer someone same major,0,0,Supportive and caring,Guide underclassmen,gym,"traveling, music",SZA - R&B,Being late,k-pop gossip,Fine should store anyone again season property mention everybody plan top employee office interview.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,0,5,4,3,4,5,3,studying at Marston,I love hanging out at Plaza of Americas
Sean Hubbard,she/her,christopher225@ufl.edu,175-038-8469x954,@robert57,1,Computer Science,HSA,0,3.0,,,1,1,Fun and outgoing,Network and make friends,traveling,"traveling, gaming",SZA - Rock,Bad hygiene,gaming strategies,Night plant option ahead environment song instead attack indicate.,Why did the scarecrow get promoted? He was outstanding in his field.,I would literally eat anything,1,3,3,5,5,5,2,dinner with friends,
Thomas Rocha,he/him,ashley493@ufl.edu,521-721-7606,@brandon78,1,Marketing,None,0,5.0,,,1,1,Shares similar hobbies,Guide underclassmen,photography,"reading, gaming",Joji - Hip-hop,Talking over others,fashion trends,Agent against natural red hit reveal by study official possible community down.,Why don’t skeletons fight each other? They don’t have the guts.,Mexican,1,5,4,4,4,3,4,sleeping early,
Michael Coleman,she/her,melanie421@ufl.edu,(109)658-4521x075,@donna77,2,Mechanical Engineering,AAA,0,3.0,,,1,1,Supportive and caring,Guide underclassmen,traveling,painting,Joji - R&B,Bad hygiene,fashion trends,Think pretty face case pick cut present these.,I only know 25 letters of the alphabet. I don’t know y.,Italian,0,4,3,4,2,4,2,studying at Marston,
Eric Stephens,he/him,david488@ufl.edu,(018)742-3213x3265,@alexandra55,1,Computer Science,HSA,0,3.0,,Prefer someone same major,1,1,Chill and introverted,Network and make friends,photography,"traveling, music, photography",SZA - Pop,Overusing emojis,sports,Can player agent even space everything rise really help southern.,Why did the scarecrow get promoted? He was outstanding in his field.,Asian,1,3,4,5,3,1,2,sleeping early,
Robert Herrera,he/him,michael717@ufl.edu,175-973-6099x5587,@dale57,1,Marketing,HSA,0,3.0,,Prefer someone also into K-pop,1,1,Fun and outgoing,Meet new people,photography,"photography, gym",Joji - Rock,Bad hygiene,fashion trends,Ever toward begin ten her always person I water behind mission create.,I only know 25 letters of the alphabet. I don’t know y.,Mexican,0,5,3,5,4,1,1,movie night,
Carol Williams,they/them,gregory439@ufl.edu,831-648-0942,@michael49,1,Mechanical Engineering,CSA,0,5.0,,,0,1,Supportive and caring,Find a mentor,movies,"painting, movies, gym",NewJeans - EDM,Chewing loudly,fashion trends,Care color task candidate growth general wide probably fine.,I only know 25 letters of the alphabet. I don’t know y.,Italian,1,3,5,3,2,2,2,going out,
Patrick Gonzalez,they/them,david57@ufl.edu,707.567.6918x276,@daniel34,1,Biology,FSA,0,4.0,,Prefer someone also into K-pop,1,1,Supportive and caring,Meet new people,gaming,"gaming, photography",SZA - Lo-fi,Talking over others,sports,Local during doctor short or rate senior place.,Why did the scarecrow get promoted? He was outstanding in his field.,I would literally eat anything,0,3,3,3,3,2,3,studying at Marston,
Calvin Martin,he/him,zachary404@ufl.edu,+1-921-393-6274x0252,@mary10,1,Data Science,AAA,0,2.0,,,1,1,Chill and introverted,Find a mentor,movies,"gaming, gym, reading",SZA - Hip-hop,Bad hygiene,movies & TV shows,Fight federal window body able home decade most send fine.,Why did the scarecrow get promoted? He was outstanding in his field.,American,0,3,3,3,5,5,4,dinner with friends,I love hanging out at Plaza of Americas
Erin Carrillo,he/him,ashley617@ufl.edu,001-541-239-3492x951,@devin51,2,Finance,FSA,0,3.0,,,1,0,Fun and outgoing,Guide underclassmen,cooking,"movies, gym",Post Malone - Indie,Talking over others,k-pop gossip,Customer perhaps situation security most recently project standard before space again but radio institution year do.,Why did the scarecrow get promoted? He was outstanding in his field.,Mexican,0,3,5,3,5,3,2,studying at Marston,I love hanging out at Plaza of Americas
Kaitlyn Davis,he/him,shaun738@ufl.edu,182.345.8975,@brittany36,1,Finance,AAA,0,5.0,,Prefer someone also into K-pop,1,0,Chill and introverted,Guide underclassmen,music,traveling,Joji - Lo-fi,Chewing loudly,fashion trends,Why shoulder start professional end letter enter theory possible artist.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,0,3,3,5,3,3,1,movie night,
Steven Wade,he/him,david962@ufl.edu,8680761663,@justin77,1,Computer Science,None,0,5.0,,,0,0,Chill and introverted,Guide underclassmen,movies,"cooking, gaming, movies",SZA - Lo-fi,Talking over others,movies & TV shows,Decide painting range sort staff guy same.,I only know 25 letters of the alphabet. I don’t know y.,I would literally eat anything,1,3,4,5,2,3,5,gaming all night,Looking for study buddies
Mary Nguyen,she/her,alan802@ufl.edu,115.343.4287x52460,@eric23,1,Data Science,CSA,0,1.0,,Prefer someone also into K-pop,0,1,Supportive and caring,Guide underclassmen,movies,"music, painting, gaming",SZA - Indie,Bad hygiene,sports,Television study technology trip difference popular trial modern voice until.,Why don’t skeletons fight each other? They don’t have the guts.,I would literally eat anything,0,3,4,3,2,2,4,going out,Looking for study buddies
Bryan Hall,she/her,karen359@ufl.edu,(490)182-5587,@eric29,1,Data Science,CSA,0,4.0,,Prefer someone also into K-pop,0,1,Supportive and caring,Meet new people,reading,"traveling, gaming, painting",SZA - Rock,Chewing loudly,sports,Director benefit low since couple along somebody future success situation.,Why did the scarecrow get promoted? He was outstanding in his field.,Mexican,1,5,4,5,3,4,2,sleeping early,
Madeline Dunn,they/them,lori766@ufl.edu,(077)562-7222,@todd52,1,Data Science,None,0,1.0,,,1,1,Fun and outgoing,Guide underclassmen,painting,"gym, painting",Joji - Pop,Chewing loudly,movies & TV shows,Eight ball color general television miss computer TV.,What do you call fake spaghetti? An impasta!,Italian,1,5,4,4,2,5,4,sleeping early,
Maria Perkins,he/him,crystal767@ufl.edu,+1-227-519-4125x75150,@jamie41,1,Data Science,None,0,4.0,,,1,1,Shares similar hobbies,Find a mentor,music,"photography, gym",Taylor Swift - Rock,Overusing emojis,k-pop gossip,Difficult off approach name anything past ground officer.,Why did the scarecrow get promoted? He was outstanding in his field.,Asian,1,3,3,5,2,1,4,going out,Looking for study buddies
Linda Jones,they/them,christopher931@ufl.edu,+1-816-338-6237x15780,@richard89,1,Biology,FSA,0,3.0,,Prefer someone from AAA,0,1,Fun and outgoing,Meet new people,gym,"music, gaming, reading",Drake - Lo-fi,Chewing loudly,movies & TV shows,Production teach friend where almost glass standard attention watch can avoid perhaps bill explain about would.,I only know 25 letters of the alphabet. I don’t know y.,Greek/Mediterranean,1,4,5,5,2,1,4,dinner with friends,I love hanging out at Plaza of Americas
Derrick Green,they/them,michael394@ufl.edu,+1-222-105-7154,@samantha3,1,Biology,VSO,0,3.0,,,0,0,Shares similar hobbies,Guide underclassmen,gym,"traveling, reading",Joji - Hip-hop,Being late,k-pop gossip,Network resource set support artist everyone tough save study article article.,I only know 25 letters of the alphabet. I don’t know y.,Italian,1,5,5,3,2,3,3,studying at Marston,I love hanging out at Plaza of Americas
Samuel Figueroa,she/her,nicolas341@ufl.edu,565.601.8190,@christopher37,1,Finance,FSA,0,4.0,,Prefer someone also into K-pop,0,1,Shares similar hobbies,Guide underclassmen,movies,gaming,Post Malone - K-pop,Bad hygiene,k-pop gossip,Responsibility indeed of common rich rather all accept.,Why don’t skeletons fight each other? They don’t have the guts.,I would literally eat anything,0,4,4,5,2,3,4,studying at Marston,Looking for study buddies
Kaylee Bryant,she/her,erin190@ufl.edu,(785)703-9777x03158,@robert20,2,Finance,FSA,0,5.0,,Prefer someone from AAA,1,0,Chill and introverted,Meet new people,cooking,traveling,SZA - Pop,Being late,AI & tech,Nor along tree pretty just foreign new control.,I only know 25 letters of the alphabet. I don’t know y.,Mexican,1,5,4,4,4,5,2,going out,
Lisa Jimenez,they/them,emily961@ufl.edu,+1-313-141-7284x85656,@kara47,2,Biology,HSA,0,3.0,,Prefer someone also into K-pop,1,1,Supportive and caring,Guide underclassmen,movies,"painting, reading, movies",SZA - K-pop,Bad hygiene,movies & TV shows,Most government marriage consumer every consumer produce her hear travel watch music despite allow foot.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,1,5,5,4,4,4,1,dinner with friends,Looking for study buddies
Rebecca Daniel,she/her,kayla81@ufl.edu,5248046536,@peter33,1,Marketing,None,0,4.0,,Prefer someone from AAA,1,1,Chill and introverted,Meet new people,painting,"cooking, photography, traveling",Drake - Pop,Being late,fashion trends,Leave tend else similar age foot character.,What do you call fake spaghetti? An impasta!,Greek/Mediterranean,0,5,3,3,3,5,2,movie night,
Andrea Hartman,she/her,patrick804@ufl.edu,743.049.1023x829,@julie22,1,Marketing,FSA,0,3.0,,Prefer someone same major,1,1,Supportive and caring,Network and make friends,movies,music,Post Malone - Rock,Bad hygiene,fashion trends,Old chair determine win note energy yard information court responsibility wish.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,1,4,5,4,3,4,3,going out,Looking for study buddies
Christina Branch,they/them,courtney649@ufl.edu,157.332.6584,@william68,1,Biology,None,0,2.0,,,1,0,Chill and introverted,Meet new people,reading,reading,Taylor Swift - EDM,Talking over others,sports,Smile find range true tax article open reduce experience child.,I only know 25 letters of the alphabet. I don’t know y.,Greek/Mediterranean,0,4,4,4,4,1,2,studying at Marston,I love hanging out at Plaza of Americas
Tom Nguyen,they/them,marc737@ufl.edu,654-422-7772x39333,@kelsey66,2,Data Science,AAA,0,2.0,,,0,0,Fun and outgoing,Network and make friends,music,"painting, gaming, gym",NewJeans - Hip-hop,Being late,k-pop gossip,Measure town activity TV city south toward wind drop edge measure almost late message.,What do you call fake spaghetti? An impasta!,American,0,5,3,3,3,5,5,movie night,
Seth Hines,she/her,jeffrey631@ufl.edu,932-078-6688,@andrew41,2,Finance,CSA,0,5.0,,Prefer someone from AAA,0,0,Fun and outgoing,Guide underclassmen,cooking,traveling,Drake - K-pop,Overusing emojis,k-pop gossip,Radio ahead compare human buy adult space wrong.,What do you call fake spaghetti? An impasta!,Greek/Mediterranean,1,4,3,3,4,5,5,sleeping early,
Lance Frank,they/them,susan882@ufl.edu,6340758757,@jon22,1,Data Science,FSA,0,5.0,,,0,1,Chill and introverted,Find a mentor,cooking,"photography, traveling, music",Taylor Swift - Lo-fi,Bad hygiene,movies & TV shows,Project worry drive may water pressure full once issue.,I only know 25 letters of the alphabet. I don’t know y.,Asian,1,5,3,4,4,1,4,going out,
Jordan Gonzalez,he/him,victoria154@ufl.edu,001-758-414-6189,@benjamin96,1,Marketing,FSA,0,2.0,,Prefer someone also into K-pop,1,1,Shares similar hobbies,Guide underclassmen,gaming,"gym, cooking",SZA - Hip-hop,Being late,k-pop gossip,Matter company continue interview song me memory discuss whether century land.,Why did the scarecrow get promoted? He was outstanding in his field.,Greek/Mediterranean,1,4,5,3,3,2,2,gaming all night,
Jeffrey Howard,he/him,ellen42@ufl.edu,+1-733-707-7233x590,@bailey48,2,Biology,None,0,4.0,,Prefer someone also into K-pop,0,1,Fun and outgoing,Guide underclassmen,photography,gaming,Post Malone - Rock,Talking over others,gaming strategies,Reach bar carry poor plan which huge social student just sense nothing.,What do you call fake spaghetti? An impasta!,Asian,0,3,3,3,2,4,5,dinner with friends,
Amanda Wang,she/her,jessica635@ufl.edu,163-564-9910,@brooke32,1,Finance,HSA,0,5.0,,,1,0,Shares similar hobbies,Meet new people,reading,traveling,SZA - K-pop,Being late,k-pop gossip,Boy bit wish together society hope push weight information any.,Why did the scarecrow get promoted? He was outstanding in his field.,I would literally eat anything,1,5,4,4,4,4,4,going out,
Joseph Smith,she/her,olivia280@ufl.edu,(133)970-8333x10274,@dylan33,2,Marketing,None,0,5.0,,Prefer someone also into K-pop,1,0,Chill and introverted,Meet new people,gaming,"traveling, gym, reading",The Weeknd - Rock,Being late,AI & tech,Hospital age civil dream ability TV at network at concern.,I only know 25 letters of the alphabet. I don’t know y.,American,1,5,5,3,2,3,3,sleeping early,
Corey Jones,they/them,robert297@ufl.edu,795-447-6023x4949,@heather53,2,Mechanical Engineering,FSA,0,4.0,,,0,0,Shares similar hobbies,Guide underclassmen,reading,"gym, traveling, photography",Taylor Swift - K-pop,Talking over others,movies & TV shows,Yeah second cold kid city same daughter alone beyond around performance two work loss fill.,Why don’t skeletons fight each other? They don’t have the guts.,Greek/Mediterranean,1,5,5,3,3,2,4,sleeping early,
